iter	Passed	Remaining
0	11	6702
1	19	5721
2	25	5152
3	33	5052
4	45	5419
5	49	4939
6	58	4928
7	65	4824
8	76	5009
9	85	5017
10	91	4914
11	100	4914112	107	4872113	116	4858114	123	4835115	133	4864
16	141	4853
17	148	4799
18	153	4697119	161	4685220	168	4634221	178	4698
22	184	4622
23	193	4633
24	200	4600
25	206	4568
26	213	4526227	221	4533
28	228	4505
29	237	4513
30	245	4505
31	251	4464332	257	4424333	265	4425334	270	4369335	276	4325336	283	4310337	288	4268338	294	4233339	299	419440	313	42684441	314	417442	328	42524443	328	415444	342	42264445	344	4144446	350	412447	363	41844448	364	409449	378	4164550	386	4155551	393	41445552	395	408553	407	4119554	413	4100
55	418	4069
56	425	4052
57	431	4031
58	436	4003
59	443	3988
660	447	3950661	453	3939662	461	3932663	468	3926664	476	3916665	485	3928666	494	3935667	501	3923668	508	3911669	517	3916770	525	3912771	531	3898772	538	3887773	545	3877774	552	3867775	559	3858776	565	3841777	573	3835778	579	3824779	586	381280	595	3817
81	603	3813
82	610	3801883	616	37898884	621	376485	633	3786
86	640	3778
887	644	375288	654	3759
889	658	373490	669	3743
91	676	3734
992	677	369593	689	3709
94	696	3702
995	697	3663996	705	365997	717	3675
98	724	3665999	730	36531100	738	36481101	745	36411102	753	3635
103	759	36211104	764	3605
105	774	3610
106	781	3600
107	785	35801108	794	3579
109	801	3571
110	808	35591111	815	35541112	824	35551113	832	35471114	840	35441115	848	35381116	857	35411117	865	35331118	872	35251119	878	35141120	885	35071121	893	35011122	899	3487123	924	3550
124	931	3540
1125	921	34661126	928	34571127	934	34441128	941	34361129	949	34331130	957	34281131	967	34301132	974	34201133	981	34121134	990	3411
135	999	3410
136	1005	3397
137	1014	3396
138	1022	3390
139	1030	3386
140	1038	3380
141	1047	3379
142	1054	3370
143	1064	3371
144	1070	3359
145	1078	3353
146	1084	3343
147	1091	3333
148	1099	3327
149	1105	3317
150	1113	3311
151	1121	3305
152	1129	33015153	1136	32915154	1144	32815155	1153	32815156	1161	32715157	1169	32715158	1176	32615159	1195	32816160	1205	32816161	1213	32716162	1220	327163	1211	3220
164	1222	3223
16165	1254	32716166	1279	33116167	1296	33316168	1312	33416169	1325	335170	1323	3319
171	1336	3326
172	1355	3346
173	1377	3371
174	1395	3388
175	1405	3385
176	1418	3389
177	1432	3396
178	1443	3394
179	1455	3397
180	1468	3399
181	1481	3401
182	1490	3397
183	1497	3384
184	1506	3379
185	1520	3385
186	1533	3386
187	1546	3389
188	1557	3386
189	1577	3403
190	1592	3410
191	1611	3424
192	1626	3430
193	1643	3438
194	1658	3444
195	1668	3439
196	1687	3451
197	1705	3462
198	1723	3472
199	1734	3468
200	1745	3465
201	1758	3464
202	1769	3460
203	1784	3464
204	1795	3459
205	1814	3470
206	1832	3478
207	1839	3466
208	1845	3453
209	1852	3440
210	1860	3429
21211	1889	34521212	1902	34521213	1914	345214	1904	3409
215	1918	3410
216	1960	3460
21217	2039	35721218	2081	36221219	2109	3642
220	2125	36422221	2139	364222	2130	3601
22223	2192	36722224	2212	36822225	2228	36822226	2241	36822227	2261	36922228	2283	36922229	2298	369230	2278	3639
231	2301	3650
232	2324	3661
23233	2398	37523234	2426	37623235	2452	37823236	2474	37823237	2495	379238	2469	3730
239	2491	3736
240	2512	3742
241	2539	3757
242	2560	3761
243	2578	3762
244	2591	3755
245	2604	3747
246	2616	3739
247	2632	3736
248	2640	3722
249	2650	3711
250	2658	3696
251	2666	3681
252	2671	3664
253	2680	3650
254	2689	3638
255	2701	3630
256	2718	3628
257	2731	3620
258	2749	3620
259	2766	3617
260	2780	3611
261	2794	3604
262	2809	3600
263	2828	3599
264	2845	3596
265	2859	3589
266	2877	3588
267	2893	3584
26268	2959	36426269	2979	36427270	2995	363271	2983	3597
272	3003	3597
273	3015	3587
274	3026	3576
275	3035	3563
27276	3091	36027277	3105	359278	3075	3538
