city,title,price,area,location,property_type,bedrooms,bathrooms,built_in_year,parking_space,servant_quarters,store_rooms,kitchens,drawing_room,dining_room,study_room,prayer_room,powder_room,lounge_sitting_room,url
Islamabad,1 Kanal Modern Luxury House For Sale In DHA Phase 2 Islamabad,138000000.0,1 Kanal,"DHA Defence, Islamabad, Islamabad Capital",House,5.0,6.0,2026,2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_modern_luxury_house_for_sale_in_dha_phase_2_islamabad-54104923-339-1.html
Islamabad,"Luxurious 8 Marla Triple-Sided Open Home with Huge Lawn 1.5 Kanal in Bahria Enclave, Sector J - PKR 4.25 Crore",42500000.0,8 Marla,"Bahria Town, Islamabad, Islamabad Capital",House,5.0,7.0,2026,Yes,1,2,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_j_luxurious_8_marla_triple-sided_open_home_with_huge_lawn_1_5_kanal_in_bahria_enclave_sector_j_-_pkr_4_25_crore-54204276-11981-1.html
Islamabad,"20 MARLA CORNER DOUBLE UNIT HOUSE FOR SALE IN DHA PHASE 2 IN INVESTOR PRICE DHA PHASE 2, ISLAMABAD",77000000.0,1 Kanal,"DHA Defence, Islamabad, Islamabad Capital",House,8.0,6.0,2016,2016,3,4,3,Yes,Yes,,,Yes,Yes,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_20_marla_corner_double_unit_house_for_sale_in_dha_phase_2_in_investor_price_dha_phase_2_islamabad-54249584-339-1.html
Islamabad,Sector N 5 Marla Brand New Corner House With 2 Marla Extraland Excellent Construction Quality Sun facing House Available for Sale,32000000.0,7 Marla,"Bahria Town, Islamabad, Islamabad Capital",House,4.0,6.0,2024,1,1,1,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_sector_n_5_marla_brand_new_corner_house_with_2_marla_extraland_excellent_construction_quality_sun_facing_house_available_for_sale-54185105-11975-1.html
Islamabad,Corner 10 Marla Semi Furnished House For Sale,63500000.0,10 Marla,"Top City 1, Islamabad, Islamabad Capital",House,6.0,6.0,2026,2,1,1,2,Yes,Yes,Yes,Yes,,,https://www.zameen.com/Property/islamabad_top_city_1_corner_10_marla_semi_furnished_house_for_sale-54225061-1383-1.html
Islamabad,Prime Location Studio Furnished Apartment For Sale,7200000.0,2.2 Marla,"Islamabad Expressway, Islamabad, Islamabad Capital",Flat,,,2024,,,,,,,,,,,https://www.zameen.com/Property/islamabad_islamabad_expressway_prime_location_studio_furnished_apartment_for_sale-54202617-9014-1.html
Islamabad,Prime Location 2 Bed Furnished Apartment For Sale,17200000.0,4.9 Marla,"Islamabad Expressway, Islamabad, Islamabad Capital",Flat,2.0,,2024,,,,,,,,,,,https://www.zameen.com/Property/islamabad_islamabad_expressway_prime_location_2_bed_furnished_apartment_for_sale-54202644-9014-1.html
Islamabad,New Designer House,62500000.0,10 Marla,"Bahria Town, Islamabad, Islamabad Capital",House,5.0,6.0,2026,,1,,2,Yes,Yes,,,Yes,Yes,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_new_designer_house-53090277-11987-1.html
Islamabad,10 Marla Brand New House In DHA Phase 5,64000000.0,10 Marla,"DHA Defence, Islamabad, Islamabad Capital",House,5.0,5.0,2025,4,1,2,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_10_marla_brand_new_house_in_dha_phase_5-52716846-10991-1.html
Islamabad,The Galleria 3 Bed Gold Category Apartment Semi Furnished 1695 Sq/Ft Sun Facing Available For Sale,14000000.0,7.5 Marla,"Bahria Town, Islamabad, Islamabad Capital",Flat,3.0,4.0,2024,2,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/bahria_enclave_the_galleria_the_galleria_3_bed_gold_category_apartment_semi_furnished_1695_sq_ft_sun_facing_available_for_sale-53324595-10002-1.html
